Uniprot ID,Symbol,Protein Intensity,Prot_Z_Score,read_count,fpkm,tpm,driver gene method_of_action
Q9NNW7,TXNRD2,5.73272,3.30478,5458,11.58,42.07,
P51648,ALDH3A2,7.79613,3.10758,117899,298.16,1083.22,
P51687,SUOX,5.79714,3.02789,10896,35.53,129.08,
O15240,VGF,9.72316,3.00952,4852,29.3,106.45,
Q99996,AKAP9,4.10922,2.95377,51350,46.05,167.3,
Q99996,AKAP9,4.10922,2.95377,51350,46.05,167.3,
Q9HCC0,MCCC2,7.37033,2.94955,51952,140.59,510.77,
Q6UXH1,CRELD2,4.66738,2.91569,10236,32.36,117.56,
Q9Y5Z4,HEBP2,5.93488,2.90769,9969,15.72,57.11,
Q96DT7,ZBTB10,4.8106,2.86536,64869,103.69,376.71,
Q02252,ALDH6A1,6.31853,2.83151,11316,27.66,100.49,
Q9NRP2,CMC2,5.7515,2.79154,8814,11.26,40.91,
Q5JRA6,MIA3,5.79838,2.73622,12424,19.95,72.48,
P10909,CLU,7.32085,2.71192,60857,150.2,545.68,
P53365,ARFIP2,4.65648,2.66165,8357,25.69,93.33,
P34897,SHMT2,9.88,2.65242,32130,108.44,393.96,
P55145,MANF,6.14064,2.60353,11203,86.66,314.84,
P07954,FH,8.10113,2.57848,16110,122.81,446.17,LoF
Q9P0B6,CCDC167,5.71789,2.57826,1465,38.65,140.42,
Q9H2U2,PPA2,7.81776,2.57652,7225,25.35,92.1,
Q08209,PPP3CA,5.53356,2.55118,43039,134.81,489.77,LoF
Q8NE01,CNNM3,3.76762,2.52324,1720,6.36,23.11,
P34913,EPHX2,4.40384,2.51973,5659,20.66,75.06,
Q16740,CLPP,6.31717,2.493,2595,18.62,67.65,
Q13451,FKBP5,6.43114,2.47077,77046,118.38,430.08,
Q14676,MDC1,5.6035,2.43402,25251,51.13,185.76,
Q96AB3,ISOC2,6.37143,2.37221,4251,15.75,57.22,
Q96PC5,MIA2,5.16337,2.33402,112,0.62,2.25,
Q96EY8,MMAB,6.51267,2.32174,6990,18.15,65.94,
P54920,NAPA,6.61784,2.31798,7940,22.2,80.65,
Q7Z4W1,DCXR,7.11534,2.31139,4239,36.39,132.21,
O00165,HAX1,5.32811,2.29027,8293,62.84,228.3,
O14558,HSPB6,6.39806,2.26381,4917,46.63,169.41,
Q9Y6I9,TEX264,4.89011,2.21423,4021,11.54,41.92,
O75874,IDH1,8.53448,2.21067,35956,124.37,451.84,Act
Q9BSJ5,C17orf80,5.22412,2.20617,2596,9.09,33.02,
Q96K19,RNF170,3.18899,2.20031,1044,2.82,10.25,
P48454,PPP3CC,3.30055,2.19913,1099,6.19,22.49,
Q9UNE7,STUB1,5.87736,2.19445,4637,32.69,118.76,
Q9BSG0,PRADC1,3.70477,2.18703,1429,16.58,60.24,
Q13011,ECH1,9.58737,2.1514,12858,85.11,309.21,
P29317,EPHA2,6.94664,2.1253,1332,5.23,19.0,LoF
P49189,ALDH9A1,6.59606,2.12165,10604,52.34,190.15,
Q86VU5,COMTD1,4.08844,2.12145,738,7.63,27.72,
Q6P1X6,C8orf82,4.28325,2.11391,3108,16.91,61.43,
Q4KWH8,PLCH1,6.93327,2.11264,1929,4.39,15.95,
Q8IY26,PLPP6,4.65359,2.10944,2235,12.4,45.05,
Q5VU43,PDE4DIP,3.18341,2.10324,7200,4.26,15.48,Act
Q5VU43,PDE4DIP,3.18341,2.10324,7200,4.26,15.48,Act
Q9Y3D6,FIS1,6.76317,2.10291,6466,58.82,213.69,
Q9H078,CLPB,5.10815,2.09334,4204,16.1,58.49,
Q86TB9,PATL1,4.05057,2.09284,5838,22.28,80.94,
P30084,ECHS1,8.88766,2.09199,17252,174.22,632.94,
Q9BU76,C1orf35,4.37582,2.08823,1869,7.08,25.72,
Q9BRA0,NAA38,3.53962,2.08623,2476,20.81,75.6,
P04920,SLC4A2,4.80855,2.08111,23110,49.72,180.63,
P12532,CKMT1A,9.24679,2.07787,2467,12.96,47.08,
P12532,CKMT1B,9.24679,2.07787,2844,13.38,48.61,
Q9Y5P6,GMPPB,4.85938,2.07398,3678,8.91,32.37,
Q8IY95,TMEM192,3.81726,2.06104,6438,10.27,37.31,
Q96DX5,ASB9,4.06738,2.04257,3061,21.15,76.84,
P46019,PHKA2,4.69987,2.03232,1188,2.15,7.81,
Q9UHL4,DPP7,5.36295,2.00776,6630,38.39,139.47,
Q86Y56,DNAAF5,4.42509,2.00487,5084,11.63,42.25,
P43897,TSFM,5.0209,1.99771,4036,21.3,77.38,
Q8TCG1,CIP2A,4.27012,1.99675,3738,13.33,48.43,
Q96CU9,FOXRED1,4.24154,1.98794,15015,43.34,157.46,
Q5TC12,ATPAF1,4.4617,1.97617,11742,33.77,122.69,
Q8IZR5,CMTM4,3.00388,1.97525,11539,23.21,84.32,
Q10567,AP1B1,6.09053,1.96637,9359,22.74,82.61,
P0DJ07,PET100,3.45292,1.9648,871,6.41,23.29,
Q96GS4,BORCS6,3.94167,1.94291,854,5.42,19.69,
P00390,GSR,7.30766,1.94264,21353,107.72,391.35,
Q9BTZ2,DHRS4,5.54894,1.94211,1497,10.61,38.55,
P61020,RAB5B,5.68967,1.93108,17111,42.41,154.08,
O15027,SEC16A,5.75178,1.91862,15458,25.3,91.92,
Q5U5X0,LYRM7,5.74349,1.91405,6130,15.76,57.26,
Q9H0B6,KLC2,4.63355,1.91338,6283,18.73,68.05,
Q9Y2R0,COA3,5.87314,1.91151,3269,27.77,100.89,
O15040,TECPR2,6.26161,1.90385,1594,2.77,10.06,
Q16134,ETFDH,4.62131,1.90066,4101,14.9,54.13,
Q12962,TAF10,3.18281,1.88956,1578,4.22,15.33,
Q8NFI3,ENGASE,5.77045,1.88013,1030,2.72,9.88,
Q8WUD6,CHPT1,3.90018,1.87708,30395,82.67,300.34,
Q9BW04,C1orf116,4.12376,1.87646,14074,41.77,151.75,
Q96QR8,PURB,6.04112,1.87235,14980,26.97,97.98,
P55011,SLC12A2,5.88275,1.87158,6311,9.66,35.09,
Q9BRP8,PYM1,5.1298,1.8696,2753,18.54,67.36,
Q8TD26,CHD6,6.86944,1.86624,7175,8.29,30.12,
Q8TD26,CHD6,6.86944,1.86624,7175,8.29,30.12,
Q9NRA8,EIF4ENIF1,3.73164,1.86433,2573,6.91,25.1,
Q8TD43,TRPM4,4.98381,1.85794,5050,12.49,45.38,
Q9NUI1,DECR2,4.89014,1.85149,3020,12.49,45.38,
Q9BUT9,MCRIP2,2.50405,1.84659,1836,5.96,21.65,
P16219,ACADS,4.03337,1.84507,1816,11.2,40.69,
O75521,ECI2,5.4414,1.8418,6715,23.95,87.01,
Q04756,HGFAC,4.912,1.84179,31,0.18,0.65,
P56589,PEX3,4.23671,1.83781,1895,13.93,50.61,
Q8IVH4,MMAA,3.12831,1.83387,1974,4.2,15.26,
P21964,COMT,7.26906,1.82874,7270,22.85,83.01,
