"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q9NNW7","TXNRD2","5.73272","3.30478"
"P51648","ALDH3A2","7.79613","3.10758"
"P51687","SUOX","5.79714","3.02789"
"O15240","VGF","9.72316","3.00952"
"Q99996","AKAP9","4.10922","2.95377"
"Q9HCC0","MCCC2","7.37033","2.94955"
"Q6UXH1","CRELD2","4.66738","2.91569"
"Q9Y5Z4","HEBP2","5.93488","2.90769"
"Q96DT7","ZBTB10","4.8106","2.86536"
"Q02252","ALDH6A1","6.31853","2.83151"
"Q9NRP2","CMC2","5.7515","2.79154"
"Q5JRA6","MIA3","5.79838","2.73622"
"P10909","CLU","7.32085","2.71192"
"P53365","ARFIP2","4.65648","2.66165"
"P34897","SHMT2","9.88","2.65242"
"P55145","MANF","6.14064","2.60353"
"P07954","FH","8.10113","2.57848"
"Q9P0B6","CCDC167","5.71789","2.57826"
"Q9H2U2","PPA2","7.81776","2.57652"
"Q08209","PPP3CA","5.53356","2.55118"
"Q8NE01","CNNM3","3.76762","2.52324"
"P34913","EPHX2","4.40384","2.51973"
"Q16740","CLPP","6.31717","2.493"
"Q13451","FKBP5","6.43114","2.47077"
"Q14676","MDC1","5.6035","2.43402"
"Q96AB3","ISOC2","6.37143","2.37221"
"Q96PC5","MIA2","5.16337","2.33402"
"Q96EY8","MMAB","6.51267","2.32174"
"P54920","NAPA","6.61784","2.31798"
"Q7Z4W1","DCXR","7.11534","2.31139"
"O00165","HAX1","5.32811","2.29027"
"O14558","HSPB6","6.39806","2.26381"
"Q9Y6I9","TEX264","4.89011","2.21423"
"O75874","IDH1","8.53448","2.21067"
"Q9BSJ5","C17orf80","5.22412","2.20617"
"Q96K19","RNF170","3.18899","2.20031"
"P48454","PPP3CC","3.30055","2.19913"
"Q9UNE7","STUB1","5.87736","2.19445"
"Q9BSG0","PRADC1","3.70477","2.18703"
"Q13011","ECH1","9.58737","2.1514"
"P29317","EPHA2","6.94664","2.1253"
"P49189","ALDH9A1","6.59606","2.12165"
"Q86VU5","COMTD1","4.08844","2.12145"
"Q6P1X6","C8orf82","4.28325","2.11391"
"Q4KWH8","PLCH1","6.93327","2.11264"
"Q8IY26","PLPP6","4.65359","2.10944"
"Q5VU43","PDE4DIP","3.18341","2.10324"
"Q9Y3D6","FIS1","6.76317","2.10291"
"Q9H078","CLPB","5.10815","2.09334"
"Q86TB9","PATL1","4.05057","2.09284"
"P30084","ECHS1","8.88766","2.09199"
"Q9BU76","C1orf35","4.37582","2.08823"
"Q9BRA0","NAA38","3.53962","2.08623"
"P04920","SLC4A2","4.80855","2.08111"
"P12532","CKMT1A","9.24679","2.07787"
"P12532","CKMT1B","9.24679","2.07787"
"Q9Y5P6","GMPPB","4.85938","2.07398"
"Q8IY95","TMEM192","3.81726","2.06104"
"Q96DX5","ASB9","4.06738","2.04257"
"P46019","PHKA2","4.69987","2.03232"
"Q9UHL4","DPP7","5.36295","2.00776"
"Q86Y56","DNAAF5","4.42509","2.00487"
"P43897","TSFM","5.0209","1.99771"
"Q8TCG1","CIP2A","4.27012","1.99675"
"Q96CU9","FOXRED1","4.24154","1.98794"
"Q5TC12","ATPAF1","4.4617","1.97617"
"Q8IZR5","CMTM4","3.00388","1.97525"
"Q10567","AP1B1","6.09053","1.96637"
"P0DJ07","PET100","3.45292","1.9648"
"Q96GS4","BORCS6","3.94167","1.94291"
"P00390","GSR","7.30766","1.94264"
"Q9BTZ2","DHRS4","5.54894","1.94211"
"P61020","RAB5B","5.68967","1.93108"
"O15027","SEC16A","5.75178","1.91862"
"Q5U5X0","LYRM7","5.74349","1.91405"
"Q9H0B6","KLC2","4.63355","1.91338"
"Q9Y2R0","COA3","5.87314","1.91151"
"O15040","TECPR2","6.26161","1.90385"
"Q16134","ETFDH","4.62131","1.90066"
"Q12962","TAF10","3.18281","1.88956"
"Q8NFI3","ENGASE","5.77045","1.88013"
"Q8WUD6","CHPT1","3.90018","1.87708"
"Q9BW04","C1orf116","4.12376","1.87646"
"Q96QR8","PURB","6.04112","1.87235"
"P55011","SLC12A2","5.88275","1.87158"
"Q9BRP8","PYM1","5.1298","1.8696"
"Q8TD26","CHD6","6.86944","1.86624"
"Q9NRA8","EIF4ENIF1","3.73164","1.86433"
"Q8TD43","TRPM4","4.98381","1.85794"
"Q9NUI1","DECR2","4.89014","1.85149"
"Q9BUT9","MCRIP2","2.50405","1.84659"
"P16219","ACADS","4.03337","1.84507"
"O75521","ECI2","5.4414","1.8418"
"Q04756","HGFAC","4.912","1.84179"
"P56589","PEX3","4.23671","1.83781"
"Q8IVH4","MMAA","3.12831","1.83387"
"P21964","COMT","7.26906","1.82874"
"Q5T8D3","ACBD5","4.77265","1.81776"
"Q9P0U3","SENP1","3.24984","1.81644"
"O75390","CS","8.64085","1.81433"
"Q9UKK3","PARP4","4.33939","1.81301"
"Q96B45","BORCS7","4.02211","1.81025"
