dataset_id,id,model_id,gene_id,read_count,fpkm,tpm,data_source,dataset_name,model_name,symbol
15,97804878,SIDM00499,SIDG00085,63,0.15,0.54,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABCC8
15,97804879,SIDM00499,SIDG00086,1273,1.82,6.61,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABCC9
15,97804880,SIDM00499,SIDG00087,1216,2.46,8.94,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABCC10
15,97804881,SIDM00499,SIDG00088,346,0.78,2.83,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABCC11
15,97804884,SIDM00499,SIDG00091,339,1.31,4.76,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABCD1
15,97804889,SIDM00499,SIDG00097,8,0.02,0.07,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABCD2
15,97804890,SIDM00499,SIDG00098,8587,18.65,67.76,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABCD3
15,97804891,SIDM00499,SIDG00099,1136,2.12,7.7,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABCD4
15,97804892,SIDM00499,SIDG00100,14667,38.23,138.89,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABCE1
15,97804893,SIDM00499,SIDG00101,4046,14.61,53.08,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABCF1
15,97804894,SIDM00499,SIDG00103,9047,33.21,120.65,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABCF2
15,97804897,SIDM00499,SIDG00106,3857,12.1,43.96,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABCF3
15,97804898,SIDM00499,SIDG00107,76,0.2,0.73,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABCG1
15,97804899,SIDM00499,SIDG00108,297,1.0,3.63,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABCG2
15,97804904,SIDM00499,SIDG00113,6762,10.67,38.76,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD2
15,97804905,SIDM00499,SIDG00114,2060,7.7,27.97,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD3
15,97804906,SIDM00499,SIDG00115,854,3.43,12.46,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD4
15,97804907,SIDM00499,SIDG00116,1446,7.44,27.03,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD5
15,97804908,SIDM00499,SIDG00117,235,1.07,3.89,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD6
15,97804909,SIDM00499,SIDG00118,194,1.43,5.2,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD8
15,97804910,SIDM00499,SIDG00119,5973,32.29,117.31,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD10
15,97804911,SIDM00499,SIDG00120,3921,27.97,101.62,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD11
15,97804913,SIDM00499,SIDG00123,3324,15.83,57.51,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD12
15,97804914,SIDM00499,SIDG00124,11,0.04,0.15,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD12B
15,97804915,SIDM00499,SIDG00125,1412,4.32,15.69,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD13
15,97804916,SIDM00499,SIDG00126,242,1.66,6.03,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD14A
15,97804918,SIDM00499,SIDG00128,3279,16.94,61.54,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD14B
15,97804919,SIDM00499,SIDG00129,713,3.24,11.77,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD15
15,97804921,SIDM00499,SIDG00131,634,2.49,9.05,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD16A
15,97804923,SIDM00499,SIDG00133,2127,5.66,20.56,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD17A
15,97804932,SIDM00499,SIDG00142,1144,6.31,22.92,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD17B
15,97804933,SIDM00499,SIDG00143,1481,6.67,24.23,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD17C
15,97804934,SIDM00499,SIDG00144,1258,3.16,11.48,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABHD18
15,97804935,SIDM00499,SIDG00145,4536,17.56,63.8,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABI1
15,97804937,SIDM00499,SIDG00147,8865,6.2,22.52,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABI2
15,97804938,SIDM00499,SIDG00148,0,0.0,0.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABI3
15,97804939,SIDM00499,SIDG00149,46,0.07,0.25,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABI3BP
15,97804940,SIDM00499,SIDG00150,4811,12.52,45.49,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABL1
15,97804941,SIDM00499,SIDG00151,3880,4.78,17.37,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABL2
15,97804942,SIDM00499,SIDG00152,9642,15.95,57.95,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,ABLIM1
