,source,target,Confidence Value,width
0,ARHGEF12,CUL3,0.75,1
1,ARHGEF12,TRIM25,0.63,1
2,ARHGEF12,ANLN,0.63,1
3,ARHGEF12,EGFR,0.56,1
4,ARHGEF12,CDC42,0.63,1
5,ARHGEF12,VIRMA,0.63,1
6,ARHGEF12,PLEKHA4,0.63,1
7,KMT2D,WDR5,0.9,1
8,KMT2D,SNW1,0.63,1
9,KMT2D,CTNNB1,0.66,1
10,KMT2D,HERC2,0.63,1
11,KMT2D,AR,0.87,1
12,KMT2D,VIRMA,0.63,1
13,CDC5L,HSPA8,0.9,1
14,CDC5L,SUMO1,0.84,1
15,CDC5L,NPM1,0.63,1
16,CDC5L,ELAVL1,0.72,1
17,CDC5L,COPS5,0.72,1
18,CDC5L,TRIM28,0.63,1
19,CDC5L,EFTUD2,0.89,1
20,CDC5L,SNW1,0.89,1
21,CDC5L,SPEN,0.63,1
22,CDC5L,LMNA,0.82,1
23,CDC5L,RPL22,0.63,1
24,CDC5L,ANLN,0.82,1
25,CDC5L,BRD4,0.83,1
26,CDC5L,SUMO2,0.73,1
27,CDC5L,CUL3,0.72,1
28,CDC5L,ZC3H18,0.87,1
29,CDC5L,TOP1,0.63,1
30,CDC5L,PLEKHA4,0.63,1
31,CDC5L,CIT,0.63,1
32,CDC5L,NR2C2,0.63,1
33,CDC5L,DDRGK1,0.63,1
34,CDC5L,VIRMA,0.63,1
35,CDC5L,PRC1,0.63,1
36,CDC5L,NAA40,0.63,1
37,CDC5L,UFL1,0.63,1
38,CDC5L,CDC42,0.56,1
39,CDC5L,PHB,0.63,1
40,CDC5L,KIF14,0.63,1
41,BRCA2,GRB2,0.63,1
42,BRCA2,LMNA,0.58,1
43,BRCA2,XPO1,0.56,1
44,BRCA2,NPM1,0.63,1
45,BRCA2,APEX1,0.63,1
46,BRCA2,VIRMA,0.63,1
47,RPL22,CDC42,0.86,1
48,RPL22,SNW1,0.63,1
49,RPL22,COPS5,0.72,1
50,RPL22,CUL3,0.72,1
51,RPL22,VCP,0.63,1
52,RPL22,EGFR,0.63,1
53,RPL22,NPM1,0.72,1
54,RPL22,HERC2,0.63,1
55,RPL22,EFTUD2,0.63,1
56,RPL22,TRIM25,0.63,1
57,RPL22,ZC3H18,0.72,1
58,RPL22,PRC1,0.63,1
59,RPL22,WDR5,0.63,1
60,RPL22,BTF3,0.63,1
61,RPL22,DDRGK1,0.63,1
62,RPL22,ANLN,0.63,1
63,RPL22,UFL1,0.63,1
64,RPL22,PLEKHA4,0.63,1
65,RPL22,KIF23,0.63,1
66,RPL22,KIF14,0.63,1
67,RPL22,VIRMA,0.63,1
68,RPL22,CIT,0.63,1
69,RPL22,PHB,0.63,1
70,RPL22,NR2C2,0.63,1
71,HSPA8,RB1,0.71,1
72,HSPA8,CFTR,0.85,1
73,HSPA8,GRB2,0.88,1
74,HSPA8,EGFR,0.9,1
75,HSPA8,SNW1,0.82,1
76,HSPA8,VCP,0.83,1
77,HSPA8,SUMO2,0.79,1
78,HSPA8,SUMO1,0.63,1
79,HSPA8,CUL3,0.72,1
80,HSPA8,COPS5,0.72,1
81,HSPA8,CTNNB1,0.73,1
82,HSPA8,EFTUD2,0.63,1
83,HSPA8,TRIM25,0.63,1
84,HSPA8,SPEN,0.63,1
85,HSPA8,NAA40,0.63,1
86,HSPA8,DDRGK1,0.63,1
87,HSPA8,BTF3,0.63,1
88,HSPA8,WDR5,0.63,1
89,HSPA8,UFL1,0.63,1
90,HSPA8,BRD4,0.63,1
91,HSPA8,PLEKHA4,0.63,1
92,HSPA8,ZC3H18,0.63,1
93,HSPA8,AR,0.63,1
94,HSPA8,VIRMA,0.63,1
95,HSPA8,CIT,0.63,1
96,HSPA8,PHB,0.63,1
97,HSPA8,NR2C2,0.63,1
98,AR,RB1,0.89,1
99,AR,NR2C2,0.9,1
100,AR,SUMO1,0.82,1
101,AR,CTNNB1,0.9,1
102,AR,EGFR,0.86,1
103,AR,PHB,0.63,1
104,AR,GRB2,0.75,1
105,AR,SUMO2,0.73,1
106,AR,VCP,0.68,1
107,AR,BRD4,0.89,1
108,AR,HNRNPL,0.63,1
109,AR,ANLN,0.63,1
110,AR,WDR5,0.63,1
111,AR,CUX1,0.63,1
112,AR,VIRMA,0.63,1
113,AR,TRIM25,0.63,1
114,AR,EFTUD2,0.63,1
115,VIRMA,EFTUD2,0.82,1
116,VIRMA,ZC3H18,0.83,1
