,Symbol,Score
2633,AR,0.020402153927296246
2,TOP1,0.019478149569035565
4079,BRCA2,0.01159314128120308
616,BAX,0.011016903887473733
4054,HERC2,0.01040845177561954
3880,RB1,0.010270907739237773
2698,SPEN,0.010022549014912856
1302,RPL22,0.009929380919245414
534,ARHGEF12,0.009497299227080296
1035,USP8,0.009345401634383509
3563,MCM3AP,0.00932412863197663
3000,CBFB,0.009021795317943587
1416,CUX1,0.008690369117426879
4556,KMT2D,0.005957366913411245
4446,PLEKHA4,0.004073843981000923
2705,VIRMA,0.0034066891809933623
893,TRIM25,0.0023842305163815614
3019,SUMO2,0.0023009476838603353
1335,BRD4,0.0022299477221088817
776,EFTUD2,0.0019303140265600177
2395,KIF14,0.0018325830957932527
2406,EGFR,0.0018291771451579215
4607,ELAVL1,0.0017775300852932877
4238,NR2C2,0.0017534746754337498
5204,CIT,0.0017477176179419957
246,SUMO1,0.0015535407848103462
4343,CDC42,0.0015498653904873446
4135,CUL3,0.0015431172182274293
3949,XPO1,0.0015028866989585219
5299,DDRGK1,0.001493977662106851
3099,TRIM28,0.0014278924867615265
6,LMNA,0.0014214955890949283
455,CFTR,0.0014186837867802607
1120,NAA40,0.0014053083975094915
832,PHB,0.0013886038600170979
721,ANLN,0.0013639367866915056
4030,NXF1,0.0013547197884006832
3141,VCP,0.0013073832903023428
324,CTNNB1,0.001304743080585697
681,APEX1,0.0012828300072245933
1221,HNRNPL,0.0012822705719087888
4742,ZC3H18,0.0012710964167546477
3800,PRC1,0.0012643712995989709
2246,WDR5,0.0012561741321833865
443,UFL1,0.0012529150941271298
535,CDC5L,0.0012513648877478332
817,GRB2,0.0012487371904040976
1646,HSPA8,0.001240609538077287
1897,SNW1,0.001239810417670314
4739,NPM1,0.0012368710297126645
640,COPS5,0.0012334455121855853
1906,KIF23,0.0012295272617571656
1865,BTF3,0.0012167427391400496
