,source,target,Confidence Value,width
0,ARHGEF12,CUL3,0.75,1.0
1,ARHGEF12,TRIM25,0.63,1.0
2,ARHGEF12,ANLN,0.63,1.0
3,ARHGEF12,EGFR,0.56,1.0
4,ARHGEF12,CDC42,0.63,1.0
5,ARHGEF12,VIRMA,0.63,1.0
6,ARHGEF12,HNRNPH1,0.63,1.0
7,ARHGEF12,PLEKHA4,0.63,1.0
8,KMT2D,WDR5,0.9,1.0
9,KMT2D,CTNNB1,0.66,1.0
10,KMT2D,HERC2,0.63,1.0
11,KMT2D,AR,0.87,1.0
12,KMT2D,VIRMA,0.63,1.0
13,BRCA2,GRB2,0.63,1.0
14,BRCA2,LMNA,0.58,1.0
15,BRCA2,XPO1,0.56,1.0
16,BRCA2,APEX1,0.63,1.0
17,BRCA2,VIRMA,0.63,1.0
18,RPL22,CDC42,0.86,1.0
19,RPL22,CUL3,0.72,1.0
20,RPL22,VCP,0.63,1.0
21,RPL22,EGFR,0.63,1.0
22,RPL22,HERC2,0.63,1.0
23,RPL22,EFTUD2,0.63,1.0
24,RPL22,TRIM25,0.63,1.0
25,RPL22,ZC3H18,0.72,1.0
26,RPL22,PRC1,0.63,1.0
27,RPL22,WDR5,0.63,1.0
28,RPL22,DDRGK1,0.63,1.0
29,RPL22,ANLN,0.63,1.0
30,RPL22,UFL1,0.63,1.0
31,RPL22,PLEKHA4,0.63,1.0
32,RPL22,STAU1,0.73,1.0
33,RPL22,KIF14,0.63,1.0
34,RPL22,VIRMA,0.63,1.0
35,RPL22,CIT,0.63,1.0
36,RPL22,PHB,0.63,1.0
37,RPL22,NR2C2,0.63,1.0
38,HSPA8,RB1,0.71,1.0
39,HSPA8,CFTR,0.85,1.0
40,HSPA8,GRB2,0.88,1.0
41,HSPA8,EGFR,0.9,1.0
42,HSPA8,VCP,0.83,1.0
43,HSPA8,SUMO2,0.79,1.0
44,HSPA8,SUMO1,0.63,1.0
45,HSPA8,CUL3,0.72,1.0
46,HSPA8,CTNNB1,0.73,1.0
47,HSPA8,STAU1,0.74,1.0
48,HSPA8,KRAS,0.63,1.0
49,HSPA8,EFTUD2,0.63,1.0
50,HSPA8,TRIM25,0.63,1.0
51,HSPA8,SPEN,0.63,1.0
52,HSPA8,SQSTM1,0.63,1.0
53,HSPA8,NAA40,0.63,1.0
54,HSPA8,DDRGK1,0.63,1.0
55,HSPA8,WDR5,0.63,1.0
56,HSPA8,UFL1,0.63,1.0
57,HSPA8,BRD4,0.63,1.0
58,HSPA8,PLEKHA4,0.63,1.0
59,HSPA8,ZC3H18,0.63,1.0
60,HSPA8,AR,0.63,1.0
61,HSPA8,VIRMA,0.63,1.0
62,HSPA8,CIT,0.63,1.0
63,HSPA8,PHB,0.63,1.0
64,HSPA8,NR2C2,0.63,1.0
65,AR,RB1,0.89,1.0
66,AR,NR2C2,0.9,1.0
67,AR,SUMO1,0.82,1.0
68,AR,CTNNB1,0.9,1.0
69,AR,EGFR,0.86,1.0
70,AR,PHB,0.63,1.0
71,AR,GRB2,0.75,1.0
72,AR,SUMO2,0.73,1.0
73,AR,VCP,0.68,1.0
74,AR,BRD4,0.89,1.0
75,AR,HNRNPL,0.63,1.0
76,AR,ANLN,0.63,1.0
77,AR,WDR5,0.63,1.0
78,AR,CUX1,0.63,1.0
79,AR,VIRMA,0.63,1.0
80,AR,HNRNPH1,0.63,1.0
81,AR,TRIM25,0.63,1.0
82,AR,SQSTM1,0.63,1.0
83,AR,EFTUD2,0.63,1.0
84,VIRMA,EFTUD2,0.82,1.0
85,VIRMA,ZC3H18,0.83,1.0
86,VIRMA,TRIM28,0.82,1.0
87,VIRMA,BRD4,0.73,1.0
88,VIRMA,PLEKHA4,0.63,1.0
89,VIRMA,CIT,0.73,1.0
90,VIRMA,PRC1,0.73,1.0
91,VIRMA,BAX,0.63,1.0
92,VIRMA,APEX1,0.63,1.0
93,VIRMA,DDRGK1,0.63,1.0
94,VIRMA,CUX1,0.63,1.0
95,VIRMA,CTNNB1,0.63,1.0
96,VIRMA,EGFR,0.63,1.0
97,VIRMA,ANLN,0.63,1.0
98,VIRMA,MTOR,0.63,
99,VIRMA,HNRNPH1,0.63,1.0
100,VIRMA,LMNA,0.63,1.0
101,VIRMA,PHB,0.63,1.0
102,VIRMA,VCP,0.82,1.0
103,VIRMA,XPO1,0.63,1.0
104,VIRMA,SQSTM1,0.63,1.0
105,VIRMA,MCM3AP,0.63,1.0
106,VIRMA,HERC2,0.63,1.0
107,VIRMA,USP8,0.63,1.0
108,VIRMA,KIF14,0.63,1.0
109,VIRMA,SPEN,0.63,1.0
110,EFTUD2,SUMO1,0.78,1.0
111,EFTUD2,SUMO2,0.79,1.0
112,EFTUD2,CUL3,0.72,1.0
113,EFTUD2,CTNNB1,0.63,1.0
114,EFTUD2,TRIM28,0.63,1.0
115,EFTUD2,UFL1,0.73,1.0
116,EFTUD2,GRB2,0.63,1.0
117,EFTUD2,ZC3H18,0.82,1.0
118,EFTUD2,DDRGK1,0.73,1.0
119,EFTUD2,WDR5,0.63,1.0
120,EFTUD2,APEX1,0.63,1.0
121,EFTUD2,HNRNPH1,0.63,1.0
122,EFTUD2,LMNA,0.7,1.0
123,EFTUD2,PHB,0.73,1.0
124,EFTUD2,USP8,0.63,1.0
125,EFTUD2,VCP,0.63,1.0
126,EFTUD2,TRIM25,0.73,1.0
127,EFTUD2,CFTR,0.63,1.0
128,EFTUD2,NR2C2,0.63,1.0
129,EFTUD2,PRC1,0.63,1.0
130,EFTUD2,NAA40,0.63,1.0
131,EFTUD2,ANLN,0.63,1.0
132,EFTUD2,BRD4,0.63,1.0
133,EFTUD2,PLEKHA4,0.63,1.0
134,EFTUD2,STAU1,0.63,1.0
135,EFTUD2,KIF14,0.63,1.0
136,EFTUD2,CIT,0.63,1.0
137,UFL1,EGFR,0.63,1.0
138,UFL1,DDRGK1,0.89,1.0
139,UFL1,HNRNPH1,0.63,1.0
140,UFL1,HNRNPL,0.63,1.0
141,UFL1,ELAVL1,0.63,1.0
142,UFL1,PHB,0.63,1.0
143,UFL1,MOV10,0.63,1.0
144,UFL1,TRIM25,0.63,1.0
145,UFL1,XPO1,0.63,1.0
146,UFL1,NR2C2,0.63,1.0
147,UFL1,STAU1,0.73,1.0
148,UFL1,CDC42,0.63,1.0
149,UFL1,WDR5,0.73,1.0
150,UFL1,TRIM28,0.63,1.0
151,UFL1,BRD4,0.63,1.0
152,UFL1,PLEKHA4,0.63,1.0
153,VCP,CFTR,0.85,1.0
154,VCP,SUMO2,0.74,1.0
155,VCP,SUMO1,0.79,1.0
156,VCP,CUL3,0.82,1.0
157,VCP,MTOR,0.63,
158,VCP,LMNA,0.63,1.0
159,VCP,ELAVL1,0.68,1.0
160,VCP,BAX,0.63,1.0
161,VCP,TRIM25,0.73,1.0
162,VCP,HNRNPH1,0.63,1.0
163,VCP,GRB2,0.72,1.0
164,VCP,PHB,0.63,1.0
165,VCP,CTNNB1,0.63,1.0
166,VCP,SQSTM1,0.82,1.0
167,VCP,PRC1,0.63,1.0
168,VCP,NAA40,0.63,1.0
169,VCP,WDR5,0.63,1.0
170,VCP,ANLN,0.63,1.0
171,VCP,BRD4,0.73,1.0
172,VCP,PLEKHA4,0.63,1.0
173,VCP,CDC42,0.63,1.0
174,VCP,KIF14,0.63,1.0
175,VCP,RAC1,0.63,1.0
176,HNRNPH1,GRB2,0.78,1.0
177,HNRNPH1,EGFR,0.87,1.0
178,HNRNPH1,SUMO2,0.79,1.0
179,HNRNPH1,ELAVL1,0.63,1.0
180,HNRNPH1,SUMO1,0.73,1.0
181,HNRNPH1,CUL3,0.72,1.0
182,HNRNPH1,HNRNPL,0.83,1.0
183,HNRNPH1,STAU1,0.63,1.0
184,HNRNPH1,HERC2,0.63,1.0
185,HNRNPH1,LMNA,0.73,1.0
186,HNRNPH1,TRIM25,0.63,1.0
187,HNRNPH1,CFTR,0.78,1.0
188,HNRNPH1,NAA40,0.63,1.0
189,HNRNPH1,DDRGK1,0.63,1.0
190,HNRNPH1,WDR5,0.73,1.0
191,HNRNPH1,APEX1,0.63,1.0
192,HNRNPH1,BRD4,0.63,1.0
193,HNRNPH1,CDC42,0.63,1.0
194,HNRNPH1,PLEKHA4,0.63,1.0
195,HNRNPH1,ZC3H18,0.63,1.0
196,HNRNPH1,XPO1,0.63,1.0
197,HNRNPH1,TRIM28,0.63,1.0
198,HNRNPH1,PHB,0.63,1.0
199,HNRNPH1,NR2C2,0.63,1.0
200,EGFR,GRB2,0.97,1.0
201,EGFR,CTNNB1,0.9,1.0
202,EGFR,USP8,0.76,1.0
203,EGFR,XPO1,0.63,1.0
204,EGFR,MTOR,0.63,
205,EGFR,APEX1,0.82,1.0
206,EGFR,LMNA,0.82,1.0
207,EGFR,TRIM28,0.72,1.0
208,EGFR,HNRNPL,0.63,1.0
209,EGFR,SPEN,0.63,1.0
210,EGFR,CFTR,0.63,1.0
211,EGFR,HERC2,0.63,1.0
212,EGFR,KRAS,0.83,1.0
213,EGFR,ANLN,0.63,1.0
214,EGFR,BRD4,0.52,1.0
215,EGFR,CDC42,0.63,1.0
216,EGFR,KIF14,0.63,1.0
217,EGFR,RAC1,0.63,1.0
218,CUX1,RB1,0.76,1.0
219,CUX1,SUMO2,0.79,1.0
220,CUX1,HNRNPL,0.63,1.0
221,CUX1,TRIM25,0.63,1.0
222,CUX1,CTNNB1,0.63,1.0
223,CUX1,KRAS,0.49,1.0
224,CUX1,APEX1,0.63,1.0
225,CUX1,PLEKHA4,0.63,1.0
226,CUX1,CIT,0.63,1.0
227,PHB,RB1,0.9,1.0
228,PHB,XPO1,0.83,1.0
229,PHB,CUL3,0.82,1.0
230,PHB,LMNA,0.73,1.0
231,PHB,KRAS,0.63,1.0
232,PHB,STAU1,0.74,1.0
233,PHB,SUMO2,0.63,1.0
234,PHB,CFTR,0.85,1.0
235,PHB,GRB2,0.72,1.0
236,PHB,RAC1,0.82,1.0
237,PHB,PRC1,0.63,1.0
238,PHB,WDR5,0.63,1.0
239,PHB,DDRGK1,0.63,1.0
240,PHB,TRIM28,0.63,1.0
241,PHB,NXF1,0.63,1.0
242,PHB,ANLN,0.63,1.0
243,PHB,BRD4,0.73,1.0
244,PHB,ZC3H18,0.63,1.0
245,PHB,PLEKHA4,0.63,1.0
246,PHB,CDC42,0.63,1.0
247,PHB,KIF14,0.63,1.0
248,PHB,ELAVL1,0.63,1.0
249,PHB,HNRNPL,0.63,1.0
250,PHB,CIT,0.63,1.0
251,PHB,TRIM25,0.63,1.0
252,PHB,SQSTM1,0.63,1.0
253,PHB,NR2C2,0.63,1.0
254,HNRNPL,APEX1,0.88,1.0
255,HNRNPL,SUMO2,0.79,1.0
256,HNRNPL,ELAVL1,0.82,1.0
257,HNRNPL,SUMO1,0.78,1.0
258,HNRNPL,CUL3,0.72,1.0
259,HNRNPL,LMNA,0.63,1.0
260,HNRNPL,TRIM25,0.63,1.0
261,HNRNPL,CFTR,0.78,1.0
262,HNRNPL,PRC1,0.63,1.0
263,HNRNPL,DDRGK1,0.63,1.0
264,HNRNPL,WDR5,0.63,1.0
265,HNRNPL,ANLN,0.63,1.0
266,HNRNPL,BRD4,0.63,1.0
267,HNRNPL,PLEKHA4,0.63,1.0
268,HNRNPL,ZC3H18,0.63,1.0
269,HNRNPL,KIF14,0.63,1.0
270,HNRNPL,TRIM28,0.63,1.0
271,HNRNPL,CIT,0.63,1.0
272,HNRNPL,NR2C2,0.63,1.0
273,LMNA,RB1,0.9,1.0
274,LMNA,GRB2,0.56,1.0
275,LMNA,CFTR,0.88,1.0
276,LMNA,CTNNB1,0.73,1.0
277,LMNA,SUMO1,0.78,1.0
278,LMNA,SUMO2,0.79,1.0
279,LMNA,MCM3AP,0.74,1.0
280,LMNA,TRIM28,0.82,1.0
281,LMNA,ANLN,0.83,1.0
282,LMNA,MOV10,0.63,1.0
283,LMNA,NXF1,0.63,1.0
284,LMNA,HERC2,0.82,1.0
285,LMNA,ELAVL1,0.63,1.0
286,LMNA,TRIM25,0.63,1.0
287,LMNA,CUL3,0.63,1.0
288,LMNA,PRC1,0.63,1.0
289,LMNA,PLEKHA4,0.63,1.0
290,LMNA,BRD4,0.75,1.0
291,LMNA,ZC3H18,0.63,1.0
292,LMNA,STAU1,0.63,1.0
293,LMNA,DDRGK1,0.63,1.0
294,LMNA,KIF14,0.63,1.0
295,LMNA,CIT,0.63,1.0
296,LMNA,NR2C2,0.63,1.0
297,ZC3H18,SUMO1,0.56,1.0
298,ZC3H18,CUL3,0.72,1.0
299,ZC3H18,MOV10,0.73,1.0
300,ZC3H18,NXF1,0.82,1.0
301,ZC3H18,BRD4,0.83,1.0
302,ZC3H18,ELAVL1,0.72,1.0
303,ZC3H18,PLEKHA4,0.63,1.0
304,ZC3H18,KIF14,0.63,1.0
305,ZC3H18,ANLN,0.63,1.0
306,ZC3H18,SPEN,0.73,1.0
307,ZC3H18,PRC1,0.73,1.0
308,ZC3H18,TRIM28,0.63,1.0
309,ZC3H18,STAU1,0.63,1.0
310,ZC3H18,WDR5,0.63,1.0
311,ZC3H18,CDC42,0.63,1.0
312,BAX,TRIM25,0.63,1.0
313,USP8,GRB2,0.92,1.0
314,USP8,SQSTM1,0.7,1.0
315,USP8,NAA40,0.63,1.0
316,USP8,ELAVL1,0.63,1.0
317,GRB2,BRD4,0.63,1.0
318,GRB2,SPEN,0.63,1.0
319,GRB2,CDC42,0.78,1.0
320,GRB2,ELAVL1,0.63,1.0
321,GRB2,CUL3,0.72,1.0
322,GRB2,RB1,0.77,1.0
323,GRB2,RAC1,0.82,1.0
324,GRB2,TRIM25,0.63,1.0
325,GRB2,PLEKHA4,0.63,1.0
326,GRB2,KRAS,0.63,1.0
