,Symbol,Score
2633,AR,0.020401571222922812
5097,MTOR,0.019416205397533266
4079,BRCA2,0.01159312379323171
616,BAX,0.011018575696371989
4054,HERC2,0.010330644862103389
3880,RB1,0.01026850907907961
2698,SPEN,0.010021001480136474
1302,RPL22,0.009924136261884925
534,ARHGEF12,0.009500342790093378
1035,USP8,0.009345758600127272
3563,MCM3AP,0.009325134009463177
3000,CBFB,0.009024356763743314
1416,CUX1,0.00868987726595127
4556,KMT2D,0.005953892555482663
4446,PLEKHA4,0.00413789277447108
2705,VIRMA,0.0034814301887444834
893,TRIM25,0.002477534661435608
3019,SUMO2,0.002214015146636058
1335,BRD4,0.002119423631972258
2406,EGFR,0.0019111587740482396
776,EFTUD2,0.0018385534175945207
2395,KIF14,0.0017403193112300677
4607,ELAVL1,0.0017065204104664963
3949,XPO1,0.0016656123465502296
4238,NR2C2,0.001655622532639414
5204,CIT,0.0016300085594974586
4343,CDC42,0.001590939267480499
246,SUMO1,0.0015878760428560583
455,CFTR,0.0014986208402848872
4030,NXF1,0.001485355355404163
3099,TRIM28,0.0014783320779069207
4135,CUL3,0.0014583243202412625
5299,DDRGK1,0.0013916866001739295
3141,VCP,0.0013842850807353725
6,LMNA,0.001325646396706128
1120,NAA40,0.00132373815629411
324,CTNNB1,0.0013105695938228394
832,PHB,0.0013070951624647557
721,ANLN,0.0012892855649046895
681,APEX1,0.0012838050593674858
817,GRB2,0.0012560731235729337
1646,HSPA8,0.0012546939740515767
2246,WDR5,0.0012459414662311283
2843,HNRNPH1,0.0012233454214103314
4606,KRAS,0.0012043553552947852
1221,HNRNPL,0.0012040955941298665
1592,MOV10,0.0011890863504195092
1956,STAU1,0.0011821980093888187
2544,RAC1,0.0011670962168151085
3584,SQSTM1,0.0011630597267663098
3800,PRC1,0.0011601281224805436
443,UFL1,0.0011566897941529522
4742,ZC3H18,0.0011548195870245519
